,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,7.0267059429678344e-12,2.3313497204070275e-12,1.2806515648411462e-12,7.759076407864032e-13,-47.44409599751276,1.949165857009746e-08,9.652511847476929e-12,7.64988726994106e-11,0.39306261850214164,2.046533613284964,1.439813611387282,1.5785539435274452e-06,2.6133450913252468e-05,0.24178501722180684,2.5210737615911107e-06,2.950682016021973e-05
1,3.0323253795717113e-12,9.104387994508262e-13,7.426973967862849e-13,5.53152977667235e-13,-149.1370318769434,-8.939592286704733e-10,1.5643731109749654e-12,2.7810426192729418e-11,0.2763751277939831,2.5673650882520276,6.181663286844322,6.587012720184381e-07,2.8690465552758053e-06,-0.8714029980202649,1.1454147320760728e-06,1.8542671212329288e-05
2,7.252795552925965e-12,1.914516562166306e-12,7.700751130866469e-13,6.329538304128124e-13,-89.18768517670459,-3.6193528811800516e-09,2.8426622665054953e-12,5.3512718054705044e-11,0.26453478952852827,2.877445875687355,2.153284540890124,9.138178124362412e-07,3.1781636514839394e-06,0.37607582202798584,1.5099037672834299e-06,2.025305759212634e-05
3,7.416907260693904e-12,1.8825359465337742e-12,7.281403366621667e-13,6.796604333597448e-13,-123.56216823812447,-1.7209616239787402e-09,3.017801813749993e-12,5.419976486713966e-11,0.26996148427068584,2.8312992890246518,2.0886449568880647,9.407181977456915e-07,3.338819244678414e-06,0.3705984309466885,1.5499838614635671e-06,2.210547485160601e-05
4,7.388590261861812e-12,1.813742224931345e-12,6.733028857296237e-13,7.350283829904903e-13,-246.44883502346414,-2.1227845337302865e-09,3.2267283863383313e-12,5.417663594465351e-11,0.2791596927834392,2.751190140269416,2.1912900056245355,9.745623100945687e-07,5.013207466239412e-06,0.3760704858631613,1.6024859485294699e-06,2.384832688792248e-05
5,6.574660982684765e-12,1.591715580102007e-12,5.955045438282468e-13,6.686279801045316e-13,-301.67095640196027,-1.991754953861186e-09,3.0150687166642926e-12,4.867906688999007e-11,0.28416402655268913,2.7035647198442256,2.084019824789232,9.415750841968239e-07,2.3280347365529865e-05,0.3622936769524892,1.547846637697631e-06,2.3877072117189284e-05
6,1.7340502208689116e-12,7.699084890240722e-13,9.854556213681993e-13,7.272269813377299e-13,-100.84713620305791,5.08088258726097e-09,1.7342060942976631e-12,2.507672934342063e-11,0.3075430869421627,2.2466704149080226,1.0293580197080299,6.854358575787775e-07,8.939378577859159e-06,-0.2194945525853321,1.2131730832401205e-06,1.002832191653315e-05
7,6.375422831032218e-12,1.5416333406647117e-12,5.780417382586452e-13,6.490564467566287e-13,-234.26056820222038,-5.131149520317993e-09,2.938003414163501e-12,4.723732640043516e-11,0.28450725308014313,2.698980290142678,2.0737079226346493,9.275318026308278e-07,4.831856321049821e-06,0.36453559306037336,1.5262632414399947e-06,2.3407600900282293e-05
8,6.849634398358534e-12,1.6709591187940995e-12,6.223271683237433e-13,6.935374254940172e-13,-280.840520955814,-7.830552029128514e-09,3.1066580714865198e-12,5.0677754739319274e-11,0.2830357443080379,2.7126874866231496,2.1024897480979394,9.552643881177928e-07,3.5878896223392077e-06,0.3641450638439388,1.572087866579042e-06,2.4536796447699706e-05
9,2.8712239869431982e-12,7.302981629291171e-13,3.771840502086124e-13,5.484516859940657e-13,518.3110714299179,-9.52834776465287e-09,8.380132070739928e-12,4.218307467063515e-11,0.49518217511588775,1.6349283464255218,1.8609761642983587,1.5744494374536713e-06,1.8265387905699246e-05,0.24400551597208028,2.479556096054014e-06,2.2468008825818266e-05
10,1.014472764209634e-12,5.527350555652948e-13,3.656302797978474e-13,2.7888117063412653e-13,-81.72224934406589,1.5041019192683575e-10,9.929025067158676e-13,1.3913601976359489e-11,0.30973437460502357,2.2849350638894497,0.6079174771485538,5.198749340243525e-07,1.0560821438925766e-05,-0.026229559107619198,9.072362756470178e-07,1.0667659914549478e-05
11,1.5248294798153467e-12,7.292443029579893e-13,4.3576581157186834e-13,4.1720276810451923e-13,-172.75051747518165,-6.740173547023857e-09,1.3874607527793184e-12,2.0357127194054084e-11,0.30697764601413696,2.2598754806582297,0.8546295805267335,6.161455043648985e-07,3.1350340077821014e-06,-0.041588377608402644,1.0889007160563553e-06,9.586052619211108e-06
12,1.505462134993076e-12,6.370642292548691e-13,4.0621865490836267e-13,4.2984493718414927e-13,-250.37840549030233,-1.918415699887732e-09,2.986459786837302e-12,2.3517195747584295e-11,0.40387833766663644,1.922489144635098,1.406552499839533,9.525762493613147e-07,6.83410786907759e-06,0.1586978912818772,1.5384371986264783e-06,1.742544618295567e-05
13,2.2967923906457312e-12,8.089492290116282e-13,5.186420426672079e-13,7.215839203126002e-13,-625.8412401823709,-3.639775240287592e-09,1.0008997907795361e-11,4.7212945216766083e-11,0.5130228887512633,1.5901404100946093,1.5199601701598047,1.748650137347604e-06,1.9073829379720753e-05,0.16606037157669923,2.741893565096065e-06,2.5766332039368274e-05
14,3.589806240304715e-12,1.2604466254314656e-12,1.0304195525157888e-12,2.3018712667948276e-12,57.12020119689508,-1.3006359378752443e-08,1.948470085307169e-11,9.488324851481571e-11,0.5097740587989475,1.5671988089522686,1.1784061967183386,2.446376692726595e-06,2.083447134355688e-05,0.23547648620673886,3.8648379549783324e-06,3.2646308322270546e-05
15,3.901557277383155e-12,1.3845298528518068e-12,1.2349952879310257e-12,2.346091667760737e-12,70.67084020318887,-1.1255880571165653e-08,1.9056781089268575e-11,9.802976882743681e-11,0.49813913362355594,1.5845666885856426,1.0128467619302213,2.4084286969394515e-06,1.7679514396887158e-05,0.1416504375358565,3.837892660570611e-06,2.8520659922178987e-05
16,3.624393974953856e-12,1.2613239791716467e-12,1.221312934817122e-12,1.1583445287632179e-12,55.35405337662288,7.013349369568084e-09,1.3052505434175602e-11,7.220071588123752e-11,0.47732069312416675,1.6458303009191892,1.6712732248918438,1.895068984474616e-06,2.3638127132066833e-05,0.09067122152367738,3.0505583431961727e-06,3.389634340733959e-05
17,1.7079296052393545e-12,6.159830276397518e-13,4.3791421939995834e-13,3.976399811915583e-13,127.0317626680991,-1.79150930577606e-08,6.991164897631622e-12,3.2024496744653734e-11,0.5142937578134167,1.5833259702597653,1.3020325599400588,1.3942025959554133e-06,1.2630323369192032e-05,-0.07213802555729841,2.1986399193262712e-06,2.3017301995880062e-05
18,1.7279810951745826e-12,6.145927929846613e-13,4.448053343517086e-13,4.072379155370701e-13,175.13748606961303,-1.1675379292834125e-08,7.804591397554629e-12,3.398122533384917e-11,0.5271120772715955,1.548497187606568,1.3368244878538873,1.476568247702103e-06,1.4201784092469672e-05,-0.04974504555201058,2.3212760112133045e-06,2.5262669596398866e-05
19,1.7476683316412675e-12,6.138192542117355e-13,4.4461567554922466e-13,4.0455753014754064e-13,128.02766519357803,-1.3435845181949202e-08,8.113190222941932e-12,3.4647043144926454e-11,0.5314386765293984,1.5380736888260036,1.2544755674398673,1.5064543786150073e-06,1.484546920576791e-05,-0.030908581392673815,2.3681986801736586e-06,2.4541249741359575e-05
20,1.191267861251506e-12,6.088472069806791e-13,3.251584186307232e-13,2.531571137336514e-13,-283.0079198498075,-1.2250511064394253e-09,1.051259314584067e-12,1.503725677121671e-11,0.3065385014238379,2.3112280003718007,0.6935375047612335,5.377880128764546e-07,1.9639155642023334e-06,-0.11488008286714613,9.359220976825743e-07,1.0438277042801556e-05
21,2.9714300819089845e-12,9.039361047181901e-13,7.364338110700512e-13,5.509580665500666e-13,-145.8152752298118,3.097766568699589e-09,1.5426988917458588e-12,2.7488721303563503e-11,0.27652009741977124,2.565182325725018,5.999973727799871,6.53615423053859e-07,5.530005468833448e-06,-0.8580579743996019,1.1409294341044461e-06,1.875526377660792e-05
22,1.8774825835011646e-12,6.546596000474597e-13,3.32558219154385e-13,2.3221208138241945e-13,113.85251625354157,2.272203438014313e-09,1.368981436514365e-12,1.820004098976853e-11,0.31305110400357156,2.3762407779488406,0.7776348981495816,6.259708858603235e-07,9.718973856717784e-06,-0.19254307758187933,1.05235372379716e-06,1.2599504330510414e-05
23,3.5224876043720584e-12,9.124400685488886e-13,4.923414441712512e-13,6.695465802651984e-13,58.71024297945338,-9.897655524655177e-09,6.682880619902798e-12,4.21596911333385e-11,0.44252184384597243,1.817009125446258,0.5156850919430507,1.4160693152849193e-06,1.735252671091783e-05,-0.10209085515655121,2.242957355457162e-06,2.0851811215381098e-05
24,1.2710417537787758e-11,3.308335671126255e-12,1.4239954942270716e-12,1.2229318098027276e-12,68.24939668364,2.8209349875149073e-09,4.641966150305271e-12,9.38434565041673e-11,0.2558987892615445,2.973110899331155,0.7465823281744716,1.1721031021202287e-06,2.426563919279774e-05,-0.2156836971967935,1.9427750015579606e-06,2.587111904020752e-05
25,6.4646084190902135e-12,1.4546485339110526e-12,5.850905321456358e-13,5.695720087371272e-13,100.39742516524404,-2.977202122749217e-09,2.3456985053527394e-12,4.44804239105234e-11,0.26306091702036133,2.910676308780177,1.5788778587985457,8.298466338588747e-07,2.19457250919356e-05,-0.4169885829766971,1.3738555452363536e-06,2.2702767135118633e-05
26,2.0609969211554653e-12,7.353485313549178e-13,5.017142585109066e-13,3.6100013285950495e-13,223.87803056944705,2.4740563416445495e-09,1.2476039334884102e-12,2.0147501008507134e-11,0.2873088648301921,2.5119816255014387,1.9477163482445699,5.911338007336119e-07,4.554979034103914e-06,-0.38003689735686685,1.0185147641087428e-06,1.3399677515831235e-05
27,3.1022963729902804e-12,9.275015787111748e-13,7.340914427316039e-13,5.465784769872998e-13,-171.12893052387406,4.4056043702473745e-10,1.5702066533163082e-12,2.8119423140641996e-11,0.2756214200954457,2.580504844537021,6.46127485905735,6.604232231348918e-07,3.980817085526818e-06,-0.9067250991674843,1.1494646103002398e-06,1.8824601538109405e-05
28,1.8173126180766043e-11,3.956094769833222e-12,1.434844111223744e-12,9.70966152932106e-13,150.55651712858295,1.7440072597807124e-09,4.17771653270265e-12,1.1169490345017251e-10,0.219775884386534,3.518728666752485,2.2344429308730076,1.0756253429609374e-06,3.460914028839552e-05,-0.5474641939726915,1.7793821813520969e-06,3.6245201954680704e-05
29,1.666071462389135e-11,4.61985365260758e-12,2.2650114799391285e-12,1.2452415012251853e-12,-159.68807886296506,4.6383577883589795e-09,6.4319699675685735e-12,1.2212670692446457e-10,0.26196418635875796,2.9836623600653116,7.419463030684991,1.3616296778788517e-06,1.9873991760128175e-05,-0.5003687884091187,2.202608114451436e-06,4.0613160448615235e-05
30,8.133659726798401e-12,2.1378421506596234e-12,8.360110553289401e-13,6.563756612935417e-13,-68.1866586735089,-1.5888284953326416e-09,3.033035252856011e-12,5.876313817874591e-11,0.26000645141148077,2.9331095197890984,2.5543224384854697,9.415669457937255e-07,3.3395309910734736e-06,0.42943711737643725,1.5527722205859753e-06,2.0669969741359575e-05
31,7.235257537207026e-12,1.908966716069344e-12,7.743549935908073e-13,6.28990674012403e-13,-81.61846611541108,-2.3056097582269185e-09,2.838372726904118e-12,5.338390969014611e-11,0.26479898049252504,2.8734350997612497,2.1426735857855257,9.142963815511423e-07,2.9599308339055415e-06,0.37521781152894,1.5093419792778321e-06,1.9488011767757688e-05
32,7.2117033532593844e-12,2.0322701607680125e-12,1.3823979721565835e-12,7.888463621458797e-13,-56.25197734208883,9.3610264011465e-09,2.487384009273402e-12,5.690144132496482e-11,0.24340513701197017,3.0131405944472425,19.329572840570457,8.370505424116462e-07,2.578175044174868e-05,-1.5103554606773688,1.428321394108419e-06,2.6108348528267334e-05
33,7.181665428447144e-12,1.899119002826668e-12,7.687996514032877e-13,6.247041132630212e-13,-77.99611414326868,-1.7962149521345523e-09,2.8226942058891644e-12,5.3022407669299513e-11,0.2647199942500953,2.8725450575649605,2.133844672067332,9.089332326023977e-07,3.186761789883269e-06,0.376387765106244,1.503756700508133e-06,2.024610215304799e-05
34,7.457663808483139e-12,1.9473728711860706e-12,7.797218025189221e-13,6.396605423742487e-13,-76.41684070628465,-2.5474432781708664e-09,2.9075764716803534e-12,5.4574412165910316e-11,0.2646585267132168,2.880017990753377,2.174312512248205,9.24273419922971e-07,3.423680494392309e-06,0.382106197692728,1.525933066173179e-06,2.053126565041581e-05
35,7.289330440521662e-12,1.779166972304791e-12,6.726631478747867e-13,7.078478673707949e-13,-159.28272666447538,-1.0341494103236175e-09,3.1399655209725556e-12,5.321402103768134e-11,0.27771576488450495,2.764331553005342,2.1001735280916565,9.598313224502927e-07,3.6618414343480547e-06,0.3660976740931712,1.580588821320693e-06,2.4335761490806436e-05
36,6.5277702190338705e-12,1.5669810373708478e-12,5.93066127537775e-13,6.652707116511812e-13,-201.1168395126235,-1.738447470342569e-09,2.9924481610132414e-12,4.8242446474053005e-11,0.284428279848449,2.699836326829884,2.049690164800529,9.366912348815323e-07,4.454346990157931e-06,0.3546076952782885,1.5412116399134782e-06,2.3662649210345613e-05
37,9.24521393172783e-13,5.303409788804189e-13,4.691768042260264e-13,3.512889212923716e-13,-90.10360735672434,-4.247190964060602e-09,1.061935085597808e-12,1.4311947653801475e-11,0.3152029917628944,2.2323169520209207,0.17052537931996875,5.38932380409172e-07,8.74918632639048e-06,-0.030462632270905093,9.404746159360099e-07,9.570034415197988e-06
38,6.63824639857812e-12,1.5985439164427766e-12,5.992657219090112e-13,6.763795096302518e-13,-335.91131026691386,-2.7369250823183635e-09,3.0493807226457318e-12,4.9035983769109296e-11,0.2844953642747399,2.700329465936647,2.0727206449999866,9.461017202272913e-07,3.487984115358203e-06,0.36560058455432,1.554376068000583e-06,2.386522364385443e-05
39,4.9911522128973265e-12,1.1278996981095895e-12,4.235098780289106e-13,5.114459943666626e-13,-212.17335309192075,-8.952990432680828e-09,8.179530025557838e-12,5.00221365427872e-11,0.446182940574192,1.8276076465200277,8.352685754942287,1.378358205278902e-06,2.2154271940184643e-05,0.544227832512828,2.163537195066879e-06,3.9306038547341107e-05
40,1.1020207829500184e-12,4.76111527651642e-13,3.157927009872482e-13,2.6479844821525913e-13,-126.32800426452614,-3.612761623763723e-09,1.7852045204646827e-12,1.5668079265448687e-11,0.38129041941118386,2.0112087951360613,1.1555302065418653,7.213814414912081e-07,7.036377965972379e-06,0.09632134439519491,1.1819230744888345e-06,1.5188602197299152e-05
41,1.3929263623984116e-12,6.450445776695773e-13,3.996088404953218e-13,3.8584249664349704e-13,-328.1421649651508,-5.18874453216697e-09,1.8055047262884881e-12,1.976218927214071e-11,0.3487828511057764,2.120052713583075,1.2159875883148739,7.265524971898767e-07,5.226551720454718e-06,0.10379235729573531,1.219828298227363e-06,1.5540124414435033e-05
42,2.3061651181844935e-12,8.043540941144568e-13,5.213246268958149e-13,7.11478831086751e-13,-253.01579382094772,-7.731239324881631e-09,9.949089045493069e-12,4.709547479419179e-11,0.5123846397151994,1.592194533789574,1.576191225896204,1.7431420879927205e-06,1.9439258847943844e-05,0.1473843540441519,2.733102208303196e-06,2.609331400320439e-05
43,3.4241597763638267e-12,1.1562592646032632e-12,8.471052755954083e-13,1.9580988632795035e-12,69.62841999233287,-1.506883865197847e-08,1.49514850711741e-11,7.922217689308967e-11,0.489386061779628,1.6303008298650896,1.5562294152943192,2.1453570780526327e-06,2.2015299835202563e-05,0.2777493201740156,3.3959046464075356e-06,2.914260580758373e-05
44,2.4677200206852392e-12,9.667632146402907e-13,7.647738955741934e-13,1.054380111580684e-12,174.8072602581166,-7.556758991990958e-09,6.915698484117907e-12,4.683707389409204e-11,0.4367496735420613,1.7853620043083158,1.1040487471570193,1.4633413157800948e-06,1.221273529411765e-05,0.1963084873400206,2.351028507993495e-06,1.8458617875944153e-05
45,2.2010675118247167e-12,9.638278497715349e-13,7.79169958457233e-13,7.689646462938064e-13,210.48152157747907,-4.876692976184735e-09,4.074226552889884e-12,3.675700985219968e-11,0.38143950125431475,1.9620689557039523,1.0586859462765708,1.0896422715419652e-06,8.485751082627605e-06,0.10414220593781694,1.8140168235894386e-06,1.364856229343099e-05
46,2.237321095393097e-12,9.323824538331791e-13,8.418774675077806e-13,7.636740907752906e-13,85.9361645486926,-2.089487159946291e-09,3.4721604221380228e-12,3.497568419065492e-11,0.36165091184275167,2.0304280593041266,1.280098138690434,9.759757882478909e-07,1.1296797717250324e-05,0.0490881887927515,1.6514612521819586e-06,2.1666229831387804e-05
47,1.7185852831126952e-12,6.157150631274074e-13,4.461934978408424e-13,4.0619568777423396e-13,147.57352334694488,-1.39254454126667e-08,7.729390152860288e-12,3.390264329185031e-11,0.5258350955103069,1.5504293676480072,1.3366958517397722,1.468957136888234e-06,1.4132432782482641e-05,-0.04507511246749409,2.311431256910521e-06,2.5212860254825662e-05
48,1.7238981797115068e-12,6.177030521133366e-13,4.467130901447779e-13,4.0939017725926253e-13,156.72056744478274,-1.3233441428738788e-08,7.805606829527983e-12,3.3926540584804485e-11,0.5270762184569133,1.5491692895172162,1.284632522496734,1.4743570834540502e-06,1.430168852368963e-05,-0.051116021894348024,2.3210440162492957e-06,2.4433049869535362e-05
49,1.6798712626530936e-12,6.0858668458672e-13,4.310774208400923e-13,3.9260662565894937e-13,144.14049424269024,-1.1963641708183404e-08,6.795163003400914e-12,3.135704460692597e-11,0.51286427596571,1.5865664120322867,1.3058238382405936,1.3753096171156342e-06,1.2682682883955138e-05,-0.07154799998417098,2.1699970061628916e-06,2.3092413434042872e-05
50,1.215820988454882e-12,6.515242483970831e-13,4.0248861715267303e-13,3.078701162903501e-13,-97.0957401116736,-6.416019339863932e-09,1.0340375280487936e-12,1.6136851354033664e-11,0.2956744967623464,2.3280363986304957,0.5611412107321981,5.237081700319567e-07,2.718009872587166e-06,-0.07827288148319243,9.33310774777465e-07,9.80375116350042e-06
51,1.324394219360316e-12,5.573952471861878e-13,2.9492659722930395e-13,2.6987861602057895e-13,207.66045231609135,-5.855257220493229e-09,1.9383721517530724e-12,1.7301985527266422e-11,0.37679727343145925,2.0388614787604507,0.676079203191979,7.413479701312031e-07,4.760570089265276e-06,-0.1391642855878496,1.222266056162864e-06,1.0764264072632944e-05
52,1.7677010480354725e-12,6.112439446998161e-13,4.4556183833151137e-13,4.0700246789235027e-13,131.31252155371104,-1.617196385929675e-08,8.65222436636239e-12,3.6041645459073703e-11,0.5386264802447749,1.5203914704520423,1.2643518515811083,1.5580358817622693e-06,1.548750463111314e-05,-0.021667821504430224,2.443140640273802e-06,2.496053660486762e-05
